"","key","value","test1$value","test2$value","test3$value","test4$value","test5$value","test6$value"
"1","X220",16.837,45.239,29.883,9.963,23.208,13.162,24.411
"2","X221",16.33,43.089,28.365,9.356,22.749,12.645,22.974
"3","X222",15.466,40.458,27.396,8.986,21.631,12.281,21.905
"4","X223",14.208,36.977,25.847,8.459,20.372,11.688,21.241
"5","X224",12.566,34.537,24.386,8.012,19.401,11.081,20.333
"6","X225",11.981,33.901,23.762,7.747,18.613,10.63,19.77
"7","X226",11.024,34.309,22.921,7.425,17.598,9.962,19.178
"8","X227",10.671,34.817,22.888,7.311,17.321,9.641,18.828
"9","X228",10.334,34.706,22.424,7.205,16.813,9.265,18.398
"10","X229",10.006,35.298,22.227,7.154,16.373,8.956,18.199
"11","X230",9.876,35.624,22.181,7.136,16.178,8.782,18.069
"12","X231",9.674,36.025,22.283,7.143,15.931,8.493,17.767
"13","X232",9.869,36.388,22.363,7.181,15.778,8.193,17.646
"14","X233",9.912,37.163,22.469,7.231,15.698,7.978,17.481
"15","X234",10.175,38.156,22.87,7.377,15.574,7.581,17.244
"16","X235",10.42,38.901,22.992,7.512,15.463,7.364,17.278
"17","X236",10.939,40.721,24.086,7.764,15.628,7.148,17.375
"18","X237",11.718,42.013,25.102,8.076,15.868,7.015,18.021
"19","X238",12.428,43.205,25.971,8.322,16.226,6.973,18.475
"20","X239",13.802,46.058,27.49,8.822,16.93,6.999,19.57
"21","X240",14.856,49.505,29.439,9.328,17.482,7.071,20.729
"22","X241",15.593,50.778,30.298,9.608,17.744,7.124,21.215
"23","X242",16.575,53.583,31.508,10.005,18.282,7.226,21.965
"24","X243",17.371,55.206,32.369,10.305,18.7,7.329,22.441
"25","X244",18.721,59.018,33.748,10.854,19.639,7.534,23.534
"26","X245",20.166,61.477,35.172,11.324,20.403,7.719,24.481
"27","X246",20.855,63.124,36.058,11.598,20.754,7.83,25.116
"28","X247",21.959,65.749,37.455,11.999,21.374,8.001,25.754
"29","X248",23.176,68.293,38.864,12.434,22.065,8.194,26.405
"30","X249",23.883,69.407,39.737,12.698,22.487,8.318,27.018
"31","X250",24.933,70.637,40.84,13.022,23.045,8.476,27.77
"32","X251",25.88,71.893,41.704,13.304,23.392,8.615,28.49
"33","X252",26.564,72.776,42.53,13.535,23.624,8.727,29.044
"34","X253",27.365,74.988,44.17,13.888,24.041,8.91,29.504
"35","X254",28.174,76.005,45.363,14.182,24.563,9.054,30.102
"36","X255",28.505,76.199,45.924,14.335,24.819,9.125,30.369
"37","X256",28.459,76.797,46.526,14.533,25.194,9.222,30.864
"38","X257",28.596,77.813,47.17,14.65,25.514,9.276,31.147
"39","X258",28.636,79.195,47.504,14.738,25.488,9.308,31.47
"40","X259",28.518,79.794,47.619,14.727,25.427,9.289,31.45
"41","X260",28.644,79.366,47.207,14.688,25.396,9.261,31.333
"42","X261",28.692,78.586,46.741,14.594,25.287,9.188,31.297
"43","X262",28.541,77.55,46.247,14.441,25.042,9.096,31.001
"44","X263",28.32,76.565,45.925,14.304,24.816,9.012,30.781
"45","X264",28.029,74.688,44.963,14.01,24.278,8.83,30.195
"46","X265",27.502,71.548,43.235,13.565,23.499,8.544,29.099
"47","X266",27.093,69.17,42.276,13.246,23.006,8.35,28.376
"48","X267",26.392,66.921,41,12.812,22.468,8.08,27.469
"49","X268",25.286,65.934,39.657,12.342,21.864,7.778,26.315
"50","X269",24.54,64.597,38.39,12.026,21.389,7.585,25.682
"51","X270",23.469,62.763,36.687,11.603,20.619,7.322,24.912
"52","X271",22.514,61.28,34.949,11.185,19.811,7.058,23.999
"53","X272",21.894,59.623,33.942,10.879,19.33,6.871,23.296
"54","X273",20.648,57.106,32.485,10.416,18.511,6.585,22.394
"55","X274",19.426,54.277,30.87,9.927,17.793,6.284,21.286
"56","X275",18.659,52.349,29.878,9.614,17.222,6.089,20.68
"57","X276",17.53,48.54,28.256,9.095,16.223,5.779,19.488
"58","X277",16.138,45.632,26.501,8.519,15.135,5.425,18.114
"59","X278",15.34,43.694,25.318,8.146,14.537,5.192,17.311
"60","X279",13.97,40.064,23.659,7.59,13.544,4.85,16.076
"61","X280",12.768,36.694,21.972,7.085,12.737,4.53,15.02
"62","X281",12.05,35.152,20.875,6.759,12.135,4.327,14.318
"63","X282",10.951,32.94,19.355,6.266,11.131,4.015,13.241
"64","X283",10.318,31.121,18.114,5.944,10.556,3.81,12.473
"65","X284",9.321,28.962,16.645,5.482,9.783,3.519,11.608
"66","X285",8.481,26.54,15.45,5.058,9.065,3.258,10.704
"67","X286",7.871,25.17,14.569,4.787,8.566,3.089,10.005
"68","X287",7.107,22.65,13.258,4.358,7.857,2.812,9.184
"69","X288",6.4,20.032,11.911,3.918,7.069,2.542,8.314
"70","X289",5.924,18.66,11.228,3.659,6.68,2.379,7.744
"71","X290",5.217,16.637,10.149,3.284,6.079,2.147,6.997
"72","X291",4.359,14.587,9.135,2.892,5.452,1.913,6.149
"73","X292",3.56,12.841,7.938,2.517,4.732,1.683,5.246
"74","X293",3.109,11.74,7.107,2.295,4.27,1.547,4.688
"75","X294",2.278,10.044,6.123,1.976,3.705,1.349,4.038
"76","X295",1.492,8.632,5.239,1.676,3.133,1.173,3.359
"77","X296",1.055,7.728,4.731,1.503,2.928,1.066,2.919
"78","X297",0.521,6.42,4.025,1.274,2.437,0.925,2.394
"79","X298",0.123,5.478,3.367,1.083,1.976,0.803,1.984
"80","X299",-0.161,4.826,2.989,0.965,1.698,0.73,1.711
"81","X300",-0.543,4.04,2.465,0.795,1.386,0.624,1.452
"82","X301",-0.762,3.036,1.994,0.648,1.134,0.529,1.225
"83","X302",-0.844,2.45,1.777,0.557,0.876,0.473,1.048
"84","X303",-1.033,1.952,1.307,0.44,0.654,0.391,0.795
"85","X304",-1.337,1.555,0.882,0.343,0.228,0.332,0.608
"86","X305",-1.511,1.439,0.634,0.294,0.102,0.303,0.515
"87","X306",-1.598,1.269,0.383,0.228,0.056,0.26,0.353
"88","X307",-1.563,0.99,0.178,0.181,-0.051,0.231,0.259
"89","X308",-1.568,0.708,0.062,0.16,-0.104,0.215,0.206
"90","X309",-1.701,0.596,0.06,0.13,-0.126,0.19,0.14
"91","X310",-1.587,0.675,0.096,0.109,-0.11,0.174,0.088
"92","X311",-1.526,0.68,0.201,0.096,-0.158,0.166,0.074
"93","X312",-1.491,0.675,0.359,0.079,-0.054,0.148,0.034
"94","X313",-1.328,0.67,0.489,0.066,0.081,0.135,-0.051
"95","X314",-1.328,0.376,0.512,0.067,0.153,0.13,0.024
"96","X315",-1.298,0.252,0.676,0.058,0.286,0.113,0.113
"97","X316",-1.2,0.153,0.697,0.049,0.414,0.099,0.081
"98","X317",-1.11,0.444,0.72,0.042,0.455,0.095,0.027
"99","X318",-1.148,0.438,0.516,0.043,0.498,0.086,-0.05
"100","X319",-0.994,0.247,0.319,0.043,0.447,0.084,-0.105
"101","X320",-0.79,-0.26,0.248,0.043,0.393,0.078,-0.033
"102","X321",-0.94,-0.341,0.135,0.044,0.222,0.076,0.038
"103","X322",-0.965,-0.34,-0.081,0.032,0.097,0.064,-0.17
"104","X323",-0.92,-0.328,-0.247,0.026,-0.027,0.057,-0.193
"105","X324",-0.847,-0.119,-0.176,0.025,-0.057,0.052,-0.161
"106","X325",-0.683,-0.478,-0.06,0.022,-0.002,0.043,0.003
"107","X326",-0.526,-0.214,0.11,0.017,-0.04,0.043,0.015
"108","X327",-0.534,-0.072,0.116,0.014,-0.029,0.035,0.031
"109","X328",-0.505,0.122,0.038,0.014,-0.063,0.025,-0.013
"110","X329",-0.188,0.052,0.075,0.008,-0.018,0.016,-0.119
"111","X330",-0.034,0.233,0.281,0.011,-0.012,0.014,-0.074
"112","X331",-0.105,0.251,0.24,0.013,-0.09,0.01,-0.095
"113","X332",-0.115,0.28,0.037,0.011,-0.197,0.013,-0.035
"114","X333",-0.053,0.194,-0.121,0.01,-0.351,0.009,-0.014
"115","X334",0.079,0.031,-0.141,0.008,-0.29,0.003,0.069
"116","X335",0.211,0.153,-0.115,0.01,-0.164,0.004,0.143
"117","X336",0.2,0.263,-0.084,0.012,-0.174,0,0.101
"118","X337",0.234,0.54,0.011,0.013,-0.107,-0.001,0.144
"119","X338",0.323,0.469,-0.143,0.007,-0.123,-0.007,0.123
"120","X339",0.428,0.321,-0.037,-0.002,-0.052,-0.017,0.082
"121","X340",0.548,-0.058,0.081,-0.007,0.071,-0.026,0.015
"122","X341",0.477,0.034,0.05,-0.006,0.174,-0.031,-0.047
"123","X342",0.26,-0.099,-0.038,-0.011,0.181,-0.036,-0.075
"124","X343",0.258,-0.118,0.071,-0.023,0.109,-0.039,-0.078
"125","X344",0.379,-0.178,0.059,-0.027,0.199,-0.04,0.012
"126","X345",0.439,-0.293,-0.038,-0.032,0.176,-0.047,0.106
"127","X346",0.525,-0.388,-0.031,-0.033,0.186,-0.047,0.107
"128","X347",0.544,-0.169,-0.084,-0.037,0.084,-0.047,-0.032
"129","X348",0.635,0.093,-0.041,-0.042,0.064,-0.052,-0.035
"130","X349",0.599,0.013,-0.025,-0.052,0.021,-0.064,0.113
"131","X350",0.792,0.268,0.033,-0.056,0.006,-0.06,0.037
